tech,eligible
Coal,1
Oil,1
Gas,1
Solar,0
Wind,0
Bioenergy,1
HPS,0
Li-ion,0
Nam_Ou_7,0
Nam_Ngay,0
Nam_Ou_6,0
Nam_Ou_5,0
Nam_Pok,0
Nam_Ou_4,0
Nam_Pha,0
Nam_Ko,0
Nam_Ou_2,0
Nam_Tha_1,0
Nam_Ou_1,0
Nam_Beng,0
Nam_Khan_3_(Down),0
Nam_Khan_2,0
Mekong_at_Xayabuly,0
Nam_Ngum_3,0
Nam_Pouy_1,0
Nam_Ngum_2,0
Nam_Ngiep_1,0
Nam_Lik_1-2,0
Nam_Ngum_1,0
Nam_Lik_1,0
Nam_Ngiep-regulating_dam,0
Nam_Poun,0
Nam_Theun1,0
Theun-Hinboun_exp._(NG8),0
Theun-Hinboun,0
Ubol_Ratana,0
Huai_Kum,0
Xe_Kong_5,0
Xeset_1,0
Xedon_2,0
Xelabam,0
Xekaman_3,0
Pak_Mun,0
Xe_Kaman_2B,0
Xekaman-Sanxay,0
Xe_Nam_Noy_5,0
Xe_Kaman_2A,0
Xekatam,0
Xekaman_1,0
Lam_Ta_Khong_P.S.,0
Nam_Kong_1,0
Nam_Kong_2,0
Plei_Krong,0
Yali,0
Se_San_3,0
Se_San_3A,0
Se_San_4,0
Se_San_4A,0
Mekong_at_Don_sahong,0
Lower_Se_San_2,0
Sre_Pok_4,0
Sre_Pok_3,0
Dray_Hlinh_2,0
Buon_Kuop,0
Buon_Tua_Srah,0
