station_id,name,unit,head
112,Nam Ou 7,m,104.0
117,Nam Ngay,m,17.0
119,Nam Ou 6,m,60.0
127,Nam Ou 5,m,49.0
132,Nam Pok,m,59.4
134,Nam Ou 4,m,23.0
144,Nam Pha,m,126.0
151,Nam Ko,m,34.5
162,Nam Ou 2,m,15.0
171,Nam Tha 1,m,65.5
175,Nam Ou 1,m,16.0
181,Nam Beng,m,70.0
194,Nam Khan 3 (Down),m,39.0
195,Nam Khan 2,m,138.7
206,Mekong at Xayabuly,m,29.0
207,Nam Ngum 3,m,301.0
209,Nam Pouy 1,m,60.0
212,Nam Ngum 2,m,159.5
214,Nam Ngiep 1,m,127.0
215,Nam Lik 1-2,m,74.5
218,Nam Ngum 1,m,38.5
219,Nam Lik 1,m,19.5
224,Nam Ngiep-regulating dam,m,10.0
226,Nam Poun,m,70.0
234,Nam Theun1,m,130.0
236,Theun-Hinboun exp. (NG8),m,47.0
237,Theun-Hinboun,m,225.5
284,Ubol Ratana,m,16.0
302,Huai Kum,m,23.0
323,Xe Kong 5,m,180.0
327,Xeset 1,m,153.4
331,Xedon 2,m,39.6
343,Xelabam,m,17.0
351,Xekaman 3,m,102.0
358,Pak Mun,m,11.6
365,Xe Kaman 2B,m,78.8
366,Xekaman-Sanxay,m,12.2
367,Xe Nam Noy 5,m,572.0
374,Xe Kaman 2A,m,48.6
375,Xekatam,m,455.0
389,Xekaman 1,m,101.2
392,Lam Ta Khong P.S.,m,360.0
404,Nam Kong 1,m,186.0
409,Nam Kong 2,m,97.9
410,Plei Krong,m,31.0
415,Yali,m,190.0
416,Se San 3,m,60.5
419,Se San 3A,m,21.5
428,Se San 4,m,56.0
430,Se San 4A,m,63.0
441,Mekong at Don sahong,m,17.0
448,Lower Se San 2,m,28.5
502,Sre Pok 4,m,17.07
504,Sre Pok 3,m,60.0
511,Dray Hlinh 2,m,18.5
514,Buon Kuop,m,98.5
527,Buon Tua Srah,m,46.5
